mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
sad,Autumn Leaves - Deluxe Edition,Ed Sheeran,7iBSkXB0pTvZasOLf0Qxk9,0.892,0.555,0.257,1.42E-06,10,0.124,-12.637,1,0.0299,89.013,4,0.431
sad,exile (feat. Bon Iver),Taylor Swift,4pvb0WLRcMtbPGmtejJJ6y,0.778,0.298,0.38,5.62E-05,6,0.11,-8.426,1,0.0287,75.602,4,0.152
sad,Be My Mistake,The 1975,18UsAG7SfOQ5sxJEdjAMH0,0.835,0.572,0.155,0.000137,6,0.0906,-14.405,1,0.0344,109.923,3,0.0949
sad,Reflection,Sik World,3AaHVL2PTTN8AAbA48WMo8,0.539,0.802,0.566,4.09E-06,11,0.134,-9.816,0,0.145,140.099,4,0.153
sad,Only Hope,Various Artists,3XpgLBx3TGuDIFV5gUaR0w,0.876,0.246,0.301,1.19E-05,8,0.109,-8.714,0,0.0281,77.572,3,0.193
sad,Fine Line,Harry Styles,6VzcQuzTNTMFnJ6rBSaLH9,0.172,0.306,0.347,0.00013,2,0.0485,-8.5,1,0.0334,120.996,4,0.0511
sad,Visions of Gideon,Various Artists,0SUDiaR0qm30fXVGPjPvRp,0.942,0.252,0.314,0.676,5,0.0892,-18.197,0,0.0407,75.056,4,0.2
sad,85%,Loote,5teOR8KU4XNWY2WlVUDiIR,0.346,0.574,0.651,0,7,0.149,-7.585,1,0.046,140.017,4,0.368
sad,Phoenix II.,Alazka,70EfTOG8p4o8VnKmEM7STN,0.121,0.433,0.397,0.000225,7,0.119,-11.427,1,0.029,124.726,4,0.123
sad,Skyfall,Adele,6VObnIkLVruX4UVyxWhlqm,0.417,0.346,0.552,0,0,0.114,-6.864,0,0.0282,75.881,4,0.0789
sad,Wings,Birdy,1D4XFKolp63mNqqMXJJL1V,0.0831,0.474,0.707,0,7,0.162,-4.534,1,0.0253,83.235,4,0.224
sad,Liability,Lorde,6Kkt27YmFyIFrcX3QXFi2o,0.92,0.587,0.229,0,10,0.1,-11.254,0,0.128,75.67,4,0.379
sad,In My Veins - Feat. Erin Mccarley,Andrew Belle,7LwGBxB0h0CVmkOZxYKn0g,0.198,0.548,0.42,4.46E-06,0,0.0899,-7.842,1,0.0277,128.012,4,0.196
sad,Saturn,Sleeping At Last,3tJjZMHLqhD8DaGgdBICnc,0.638,0.263,0.237,0.305,3,0.109,-13.738,1,0.0344,73.024,4,0.0461
sad,I Can't Make You Love Me,Dave Thomas Junior,47lbyHWyeoRe3MJrSN4bk9,0.953,0.349,0.158,0.0391,3,0.0961,-14.019,0,0.035,123.792,4,0.0734
sad,Rosyln,Various Artists,4k7x3QKrc3h3U0Viqk0uop,0.971,0.329,0.277,0.024,10,0.0971,-13.111,0,0.0302,159.719,3,0.121
sad,July (feat. Leon Bridges),Noah Cyrus,3V0nnQhqvbE3JmiDdnzQFQ,0.853,0.708,0.211,0,9,0.131,-9.603,0,0.0424,72.5,4,0.362
sad,Where's My Love - Acoustic,SYML,1eKvw144NYPlDjR0wQoGLW,0.892,0.554,0.225,0.0321,3,0.107,-11.324,1,0.0281,104.007,4,0.221
sad,The Wire,Vancouver Sleep Clinic,2fvgn1xCyf0VQ5o33ZCoc6,0.821,0.382,0.182,0.000399,7,0.0929,-12.856,1,0.0306,81.293,4,0.129
sad,The Night We Met,Lord Huron,0QZ5yyl6B6utIWkxeBDxQN,0.969,0.545,0.366,0.267,2,0.641,-9.51,1,0.0378,86.997,3,0.1
sad,Bloom - Bonus Track,The Paper Kites,41yIvlFgvGwxq8qTqAR7eG,0.882,0.592,0.416,0.000586,1,0.112,-9.794,1,0.0246,96.002,4,0.417
sad,How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,0.269,0.64,0.743,0,10,0.101,-4.08,1,0.0379,122.035,4,0.361
sad,Someone You Loved,Lewis Capaldi,2TIlqbIneP0ZY1O0EzYLlc,0.751,0.501,0.405,0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
sad,Apologize,OneRepublic,1NrJYpdAi7uosDRPmSYrsG,0.363,0.593,0.74,2.22E-05,8,0.102,-6.12,1,0.0339,118.008,4,0.502
sad,Let Her Go,Passenger,7DFNE7NO0raLIUbgzY2rzm,0.385,0.509,0.538,0,7,0.104,-7.335,1,0.0572,75.089,4,0.244
